"Name","Live Bytes","Live Objects","Allocated Objects","Avg. Age","Generations"
"dibugger.userinterface.ProgramPanel$CustomParagraphView","3.400 B (37,5%)","25 (10,1%)","150 (2,4%)","0,0","1"
" java.lang.Object.<init> ()","3.400 B (37,5%)","25 (10,1%)","150 (2,4%)","0,0","1"
"  javax.swing.text.View.<init> (javax.swing.text.Element)","3.400 B (37,5%)","25 (10,1%)","150 (2,4%)","0,0","1"
"   javax.swing.text.CompositeView.<init> (javax.swing.text.Element)","3.400 B (37,5%)","25 (10,1%)","150 (2,4%)","0,0","1"
"    javax.swing.text.BoxView.<init> (javax.swing.text.Element, int)","3.400 B (37,5%)","25 (10,1%)","150 (2,4%)","0,0","1"
"     javax.swing.text.FlowView.<init> (javax.swing.text.Element, int)","3.400 B (37,5%)","25 (10,1%)","150 (2,4%)","0,0","1"
"      javax.swing.text.ParagraphView.<init> (javax.swing.text.Element)","3.400 B (37,5%)","25 (10,1%)","150 (2,4%)","0,0","1"
"       dibugger.userinterface.ProgramPanel$CustomParagraphView.<init> (dibugger.userinterface.ProgramPanel, javax.swing.text.Element)","3.400 B (37,5%)","25 (10,1%)","150 (2,4%)","0,0","1"
"        dibugger.userinterface.ProgramPanel$CustomViewFactory.create (javax.swing.text.Element)","3.400 B (37,5%)","25 (10,1%)","150 (2,4%)","0,0","1"
"         javax.swing.text.CompositeView.loadChildren (javax.swing.text.ViewFactory)","3.400 B (37,5%)","25 (10,1%)","150 (2,4%)","0,0","1"
"          javax.swing.text.CompositeView.setParent (javax.swing.text.View)","3.400 B (37,5%)","25 (10,1%)","150 (2,4%)","0,0","1"
"dibugger.debuglogic.interpreter.IntValue","2.808 B (31%)","117 (47,4%)","510 (8%)","0,0","2"
" java.lang.Object.<init> ()","2.808 B (31%)","117 (47,4%)","436 (6,9%)","0,0","2"
"  dibugger.debuglogic.interpreter.TermValue.<init> (dibugger.debuglogic.interpreter.Type)","2.808 B (31%)","117 (47,4%)","436 (6,9%)","0,0","2"
"   dibugger.debuglogic.interpreter.IntValue.<init> (int)","2.808 B (31%)","117 (47,4%)","436 (6,9%)","0,0","2"
"    dibugger.debuglogic.interpreter.IntValue.clone ()","2.616 B (28,9%)","109 (44,1%)","351 (5,5%)","0,0","1"
"     dibugger.debuglogic.interpreter.TraceState.deepCopyValues (dibugger.debuglogic.interpreter.Scope)","2.616 B (28,9%)","109 (44,1%)","351 (5,5%)","0,0","1"
"      dibugger.debuglogic.interpreter.TraceState.<init> (dibugger.debuglogic.interpreter.TraceStatePosition, int, dibugger.debuglogic.interpreter.Scope)","2.616 B (28,9%)","109 (44,1%)","351 (5,5%)","0,0","1"
"       dibugger.debuglogic.interpreter.Assignment.run ()","1.728 B (19,1%)","72 (29,1%)","240 (3,8%)","0,0","1"
"        dibugger.debuglogic.interpreter.WhileCommand.run ()","1.728 B (19,1%)","72 (29,1%)","240 (3,8%)","0,0","1"
"         dibugger.debuglogic.interpreter.RoutineCommand.run ()","1.728 B (19,1%)","72 (29,1%)","240 (3,8%)","0,0","1"
"          dibugger.debuglogic.interpreter.GenerationController.generateTrace (String, java.util.List, String)","864 B (9,5%)","36 (14,6%)","156 (2,5%)","0,0","1"
"          dibugger.debuglogic.interpreter.RoutineCall.run ()","864 B (9,5%)","36 (14,6%)","84 (1,3%)","0,0","1"
"       dibugger.debuglogic.interpreter.DeclarationAssignment.run ()","384 B (4,2%)","16 (6,5%)","48 (0,8%)","0,0","1"
"        dibugger.debuglogic.interpreter.RoutineCommand.run ()","384 B (4,2%)","16 (6,5%)","48 (0,8%)","0,0","1"
"         dibugger.debuglogic.interpreter.GenerationController.generateTrace (String, java.util.List, String)","264 B (2,9%)","11 (4,5%)","33 (0,5%)","0,0","1"
"          dibugger.debuglogic.debugger.DebugControl.launchRun (java.util.List)","264 B (2,9%)","11 (4,5%)","33 (0,5%)","0,0","1"
"         dibugger.debuglogic.interpreter.RoutineCall.run ()","120 B (1,3%)","5 (2%)","15 (0,2%)","0,0","1"
"          dibugger.debuglogic.interpreter.CallingAssignment.run ()","120 B (1,3%)","5 (2%)","15 (0,2%)","0,0","1"
"       dibugger.debuglogic.interpreter.ReturnCommand.run ()","216 B (2,4%)","9 (3,6%)","27 (0,4%)","0,0","1"
"        dibugger.debuglogic.interpreter.RoutineCommand.run ()","216 B (2,4%)","9 (3,6%)","27 (0,4%)","0,0","1"
"         dibugger.debuglogic.interpreter.GenerationController.generateTrace (String, java.util.List, String)","144 B (1,6%)","6 (2,4%)","18 (0,3%)","0,0","1"
"          dibugger.debuglogic.debugger.DebugControl.launchRun (java.util.List)","144 B (1,6%)","6 (2,4%)","18 (0,3%)","0,0","1"
"         dibugger.debuglogic.interpreter.RoutineCall.run ()","72 B (0,8%)","3 (1,2%)","9 (0,1%)","0,0","1"
"          dibugger.debuglogic.interpreter.CallingAssignment.run ()","72 B (0,8%)","3 (1,2%)","9 (0,1%)","0,0","1"
"       dibugger.debuglogic.interpreter.WhileCommand.run ()","168 B (1,9%)","7 (2,8%)","21 (0,3%)","0,0","1"
"        dibugger.debuglogic.interpreter.RoutineCommand.run ()","168 B (1,9%)","7 (2,8%)","21 (0,3%)","0,0","1"
"         dibugger.debuglogic.interpreter.GenerationController.generateTrace (String, java.util.List, String)","96 B (1,1%)","4 (1,6%)","12 (0,2%)","0,0","1"
"          dibugger.debuglogic.debugger.DebugControl.launchRun (java.util.List)","96 B (1,1%)","4 (1,6%)","12 (0,2%)","0,0","1"
"         dibugger.debuglogic.interpreter.RoutineCall.run ()","72 B (0,8%)","3 (1,2%)","9 (0,1%)","0,0","1"
"          dibugger.debuglogic.interpreter.CallingAssignment.run ()","72 B (0,8%)","3 (1,2%)","9 (0,1%)","0,0","1"
"       dibugger.debuglogic.interpreter.RoutineCommand.run ()","72 B (0,8%)","3 (1,2%)","9 (0,1%)","0,0","1"
"        dibugger.debuglogic.interpreter.GenerationController.generateTrace (String, java.util.List, String)","48 B (0,5%)","2 (0,8%)","6 (0,1%)","0,0","1"
"         dibugger.debuglogic.debugger.DebugControl.launchRun (java.util.List)","48 B (0,5%)","2 (0,8%)","6 (0,1%)","0,0","1"
"          dibugger.debuglogic.debugger.DebugLogicFacade.launchRun (java.util.List)","48 B (0,5%)","2 (0,8%)","6 (0,1%)","0,0","1"
"        dibugger.debuglogic.interpreter.RoutineCall.run ()","24 B (0,3%)","1 (0,4%)","3 (0%)","0,0","1"
"         dibugger.debuglogic.interpreter.CallingAssignment.run ()","24 B (0,3%)","1 (0,4%)","3 (0%)","0,0","1"
"          dibugger.debuglogic.interpreter.RoutineCommand.run ()","24 B (0,3%)","1 (0,4%)","3 (0%)","0,0","1"
"       dibugger.debuglogic.interpreter.CallingAssignment.run ()","48 B (0,5%)","2 (0,8%)","6 (0,1%)","0,0","1"
"        dibugger.debuglogic.interpreter.RoutineCommand.run ()","48 B (0,5%)","2 (0,8%)","6 (0,1%)","0,0","1"
"         dibugger.debuglogic.interpreter.GenerationController.generateTrace (String, java.util.List, String)","48 B (0,5%)","2 (0,8%)","6 (0,1%)","0,0","1"
"          dibugger.debuglogic.debugger.DebugControl.launchRun (java.util.List)","48 B (0,5%)","2 (0,8%)","6 (0,1%)","0,0","1"
"    dibugger.debuglogic.interpreter.TermGenerationVisitor.visitIntLiteral (dibugger.debuglogic.antlrparser.WlangParser.IntLiteralContext)","120 B (1,3%)","5 (2%)","30 (0,5%)","0,0","1"
"     dibugger.debuglogic.interpreter.TermGenerationVisitor.visitIntLiteral (dibugger.debuglogic.antlrparser.WlangParser.IntLiteralContext)","120 B (1,3%)","5 (2%)","30 (0,5%)","0,0","1"
"      dibugger.debuglogic.antlrparser.WlangParser$IntLiteralContext.accept (org.antlr.v4.runtime.tree.ParseTreeVisitor)","120 B (1,3%)","5 (2%)","30 (0,5%)","0,0","1"
"       org.antlr.v4.runtime.tree.AbstractParseTreeVisitor.visit (org.antlr.v4.runtime.tree.ParseTree)","120 B (1,3%)","5 (2%)","30 (0,5%)","0,0","1"
"        dibugger.debuglogic.interpreter.CommandGenerationVisitor.visitDeclareAssign (dibugger.debuglogic.antlrparser.WlangParser.DeclareAssignContext)","72 B (0,8%)","3 (1,2%)","18 (0,3%)","0,0","1"
"         dibugger.debuglogic.interpreter.CommandGenerationVisitor.visitDeclareAssign (dibugger.debuglogic.antlrparser.WlangParser.DeclareAssignContext)","72 B (0,8%)","3 (1,2%)","18 (0,3%)","0,0","1"
"          dibugger.debuglogic.antlrparser.WlangParser$DeclareAssignContext.accept (org.antlr.v4.runtime.tree.ParseTreeVisitor)","72 B (0,8%)","3 (1,2%)","18 (0,3%)","0,0","1"
"        dibugger.debuglogic.interpreter.TermGenerationVisitor.visitAddition (dibugger.debuglogic.antlrparser.WlangParser.AdditionContext)","24 B (0,3%)","1 (0,4%)","6 (0,1%)","0,0","1"
"         dibugger.debuglogic.interpreter.TermGenerationVisitor.visitAddition (dibugger.debuglogic.antlrparser.WlangParser.AdditionContext)","24 B (0,3%)","1 (0,4%)","6 (0,1%)","0,0","1"
"          dibugger.debuglogic.antlrparser.WlangParser$AdditionContext.accept (org.antlr.v4.runtime.tree.ParseTreeVisitor)","24 B (0,3%)","1 (0,4%)","6 (0,1%)","0,0","1"
